;;Rd;Wr;;;;;;;Avg
5;50;0;1;5;;;;;;100
5;50;1;1;5;0,9505886844183;0,950950199701526;0,949380389568661;0,950048853034508;0,950978951463025;95,0389415637204
5;50;2;1;5;0,910110783901276;0,912670415516981;0,912013931906638;0,913533613395936;0,91286150952269;91,2238050848704
5;50;3;1;5;0,881456267574367;0,87651755765977;0,880002373253434;0,878801707640218;0,881970396963188;87,9749660618195
5;50;4;1;5;0,850444311755822;0,85299196504088;0,851244729798289;0,84945060759449;0,852612820378427;85,1348886913581
5;50;5;1;5;0,82325862356274;0,824657648110051;0,826617852016725;0,823936014701583;0,825807265388497;82,4855480755919
5;50;6;1;5;0,803535612668501;0,801237772935886;0,801625715013548;0,801741195092996;0,802011328170154;80,2030324776217
5;50;7;1;5;0,782469708687806;0,784842845326716;0,777670862373869;0,781314432989691;0,784426783024259;78,2144926480468
5;50;8;1;5;0,761716290366106;0,756033148165012;0,763500482160077;0,760810891861093;0,757297494526879;75,9871661415833
5;50;9;1;5;0,741109168917845;0,74642958479145;0,747114870601554;0,742496600145482;0,74166032470827;74,376210983292
5;50;10;1;5;0,725690675443818;0,725994573452201;0,729910948140388;0,728811773383443;0,729333286767017;72,7948251437373
5;50;11;1;5;0,706930305403289;0,712525667351129;0,71341321092352;0,708147102642516;0,710547833197056;71,0312823903502
5;50;12;1;5;0,69471980578596;0,688912415000611;0,695011337868481;0,699243533430942;0,686372376549523;69,2851893727103
5;50;13;1;5;0,685284354945784;0,682397504456328;0,677805772886001;0,681453768038482;0,680520052886734;68,1492290642666
5;50;14;1;5;0,665936368832159;0,664371610469229;0,667030878859858;0,664433330187789;0,66677704716401;66,5709847102609
5;50;15;1;5;0,65567783891946;0,651017214397496;0,656698322893514;0,658896074597684;0,656054462632027;65,5668782688036
5;50;16;1;5;0,63675073698002;0,644847099793231;0,639967506092608;0,643135345666991;0,647662423178227;64,2472622342215
5;50;17;1;5;0,627588946263406;0,629255197623943;0,627711806348481;0,636152495326573;0,636735157225565;63,1488720557594
5;50;18;1;5;0,627759316401614;0,621665174574754;0,630456672392347;0,609357283523304;0,616154438325339;62,1078577043472
5;50;19;1;5;0,612792339328464;0,602524440044549;0,607258905033413;0,622107969151671;0,603744438952051;60,968561850203
5;50;20;1;5;0,603620832536495;0,604873083529487;0,608662613981763;0,594157504474559;0,60161055101135;60,2584917106731
