;;;Wr;;;;;;;Avg
5;50;1;0;5;;;;;;100
5;50;1;1;5;0,951688037266484;0,951132915886644;0,950205141355215;0,951304067400331;0,949336395095827;95,07333114009
5;50;1;2;5;0,907331454665514;0,907018115773297;0,907099767981439;0,906961843119411;0,906321465092498;90,6946529326432
5;50;1;3;5;0,86679178311336;0,867857760242422;0,867646908559576;0,867078746652275;0,868171901161906;86,7509419945908
5;50;1;4;5;0,83534368938369;0,835015896948442;0,833415245490736;0,834358434005571;0,835385406212518;83,4703734408191
5;50;1;5;5;0,805389753034371;0,801218717917582;0,80004199869583;0,801331166318396;0,801319607648428;80,1860248722922
5;50;1;6;5;0,776743079660987;0,776625002203692;0,775691377288796;0,772512936439256;0,774867078729952;77,5287894864537
5;50;1;7;5;0,742966029923779;0,748333509061728;0,744992088143937;0,743621442784312;0,744649055715715;74,4912425125894
5;50;1;8;5;0,724892861780875;0,724151041779825;0,725374523727052;0,725177209025486;0,724387068778477;72,4796541018343
5;50;1;9;5;0,701988534575421;0,703381210529257;0,70312744331509;0,700801285628195;0,702378829089936;70,233546062758
5;50;1;10;5;0,680142328195163;0,679120010538796;0,680933596318212;0,682036338704148;0,682740085217961;68,0994471794856
5;50;1;11;5;0,663988571128994;0,664741401942767;0,660403263769026;0,663996013689828;0,667392587733683;66,410436765286
5;50;1;12;5;0,645569118579581;0,646264638400021;0,646667907174566;0,645153601694915;0,645572128786778;64,5845478927172
5;50;1;13;5;0,629575632834498;0,627226152720176;0,629680443606014;0,631021856047603;0,626690570096809;62,883893106102
5;50;1;14;5;0,612172671712591;0,610787605098191;0,60960907191883;0,609092808740559;0,612837516355418;61,0899934765118
5;50;1;15;5;0,599408988797926;0,602436823104693;0,6011209785271;0,596401572422135;0,599091459721381;59,9691964514647
5;50;1;16;5;0,585322750666584;0,589206182866125;0,588342440801457;0,585271017613434;0,585192947848601;58,666706795924
5;50;1;17;5;0,569552951388889;0,573326049633214;0,574753304784956;0,573449435242714;0,574453146940431;57,3106977598041
5;50;1;18;5;0,559586154042662;0,561772826659432;0,559535054996078;0,562818322609487;0,565222958481386;56,1787063357809
5;50;1;19;5;0,550628148923641;0,552489433574308;0,549237283978876;0,551877857609406;0,547229828329699;55,0292510483186
5;50;1;20;5;0,541376869575922;0,536813364801703;0,53856354272674;0,542145859313658;0,540548903122003;53,9889707908005
